Process_ID,Task_Name,Task_ID,Input_Data,Priority,Execution_Time
1921,User_Interaction,1,49,7,243
1711,Heavy_Compute,3,2240,8,112031
1611,Heavy_Compute,3,4857,7,242865
1219,Heavy_Compute,3,3820,1,190980
1856,OS_Routine,0,1,1,44
1013,User_Interaction,1,76,2,359
1904,OS_Routine,0,3,9,35
1486,Disk_IO,2,1019,9,10227
1457,User_Interaction,1,55,1,280
1299,Heavy_Compute,3,1172,2,58563
1331,Heavy_Compute,3,3147,7,157389
1244,OS_Routine,0,9,4,1
1571,Heavy_Compute,3,4862,1,243064
1497,User_Interaction,1,11,8,66
1789,User_Interaction,1,52,7,232
1391,Heavy_Compute,3,4079,3,203953
1882,Disk_IO,2,1732,1,17362
1519,Heavy_Compute,3,1387,9,69305
1633,User_Interaction,1,11,7,97
1399,Heavy_Compute,3,3537,9,176897
1288,OS_Routine,0,3,3,1
1974,Disk_IO,2,746,3,7438
1236,OS_Routine,0,3,10,1
1175,Heavy_Compute,3,5576,5,278813
1273,User_Interaction,1,89,4,418
1753,User_Interaction,1,73,10,320
1190,Disk_IO,2,1312,2,13118
1271,Heavy_Compute,3,4928,4,246393
1195,Heavy_Compute,3,4212,7,210613
1414,Disk_IO,2,1583,7,15838
1003,Heavy_Compute,3,3602,8,180075
1425,User_Interaction,1,88,10,400
1453,User_Interaction,1,19,8,122
1317,User_Interaction,1,37,4,206
1897,User_Interaction,1,98,2,487
1522,Disk_IO,2,1918,6,19149
1503,Heavy_Compute,3,5564,1,278230
1832,OS_Routine,0,2,9,1
1125,User_Interaction,1,70,9,307
1706,Disk_IO,2,963,1,9678
1901,User_Interaction,1,87,9,464
1857,User_Interaction,1,27,2,109
1427,Heavy_Compute,3,3070,2,153495
1576,OS_Routine,0,5,2,1
1953,User_Interaction,1,39,6,155
1395,Heavy_Compute,3,4979,6,248927
1778,Disk_IO,2,1934,3,19318
1321,User_Interaction,1,18,8,68
1602,Disk_IO,2,1872,4,18751
1869,User_Interaction,1,10,9,32
1677,User_Interaction,1,14,5,51
1984,OS_Routine,0,6,2,1
1873,User_Interaction,1,74,9,323
1291,Heavy_Compute,3,3287,9,164311
1150,Disk_IO,2,938,4,9386
1698,Disk_IO,2,1326,7,13267
1848,OS_Routine,0,7,3,1
1070,Disk_IO,2,106,8,1109
1903,Heavy_Compute,3,2173,4,108686
1849,User_Interaction,1,86,7,428
1709,User_Interaction,1,86,6,460
1472,OS_Routine,0,4,8,38
1409,User_Interaction,1,52,1,307
1185,User_Interaction,1,32,8,114
1578,Disk_IO,2,673,2,6754
1680,OS_Routine,0,4,3,1
1840,OS_Routine,0,4,5,1
1126,Disk_IO,2,1840,1,18424
1038,Disk_IO,2,843,2,8472
1779,Heavy_Compute,3,1306,5,65346
1200,OS_Routine,0,8,10,32
1572,OS_Routine,0,7,3,64
1034,Disk_IO,2,1397,1,13970
1933,User_Interaction,1,73,8,333
1432,OS_Routine,0,2,6,1
1500,OS_Routine,0,7,8,37
1488,OS_Routine,0,7,6,2
1631,Heavy_Compute,3,2542,8,127066
1919,Heavy_Compute,3,1187,10,59368
1585,User_Interaction,1,44,2,178
1494,Disk_IO,2,981,10,9840
1587,Heavy_Compute,3,2643,7,132128
1755,Heavy_Compute,3,1125,6,56230
1657,User_Interaction,1,58,8,306
1028,OS_Routine,0,6,4,1
1076,OS_Routine,0,8,2,3
1785,User_Interaction,1,49,9,195
1237,User_Interaction,1,37,10,156
1674,Disk_IO,2,1708,3,17123
1163,Heavy_Compute,3,2404,7,120203
1171,Heavy_Compute,3,5127,5,256379
1917,User_Interaction,1,14,3,98
1612,OS_Routine,0,3,1,1
1252,OS_Routine,0,9,4,49
1958,Disk_IO,2,369,6,3725
1539,Heavy_Compute,3,4592,3,229578
1463,Heavy_Compute,3,4883,3,244102
1249,User_Interaction,1,41,3,176
1492,OS_Routine,0,8,1,18
1716,OS_Routine,0,3,1,1
1052,OS_Routine,0,1,2,1
1749,User_Interaction,1,80,4,388
1338,Disk_IO,2,229,5,2258
1264,OS_Routine,0,6,2,1
1886,Disk_IO,2,1440,6,14445
1824,OS_Routine,0,5,9,1
1664,OS_Routine,0,4,3,47
1209,User_Interaction,1,59,7,276
1667,Heavy_Compute,3,3636,9,181784
1781,User_Interaction,1,45,10,227
1103,Heavy_Compute,3,4886,4,244275
1630,Disk_IO,2,1224,4,12203
1686,Disk_IO,2,803,10,8002
1482,Disk_IO,2,99,10,946
1360,OS_Routine,0,4,6,30
1906,Disk_IO,2,869,6,8652
1512,OS_Routine,0,6,4,53
1829,User_Interaction,1,51,5,235
1290,Disk_IO,2,736,7,7331
1277,User_Interaction,1,36,6,144
1926,Disk_IO,2,333,6,3363
1521,User_Interaction,1,50,8,235
1724,OS_Routine,0,10,10,4
1918,Disk_IO,2,555,7,5521
1682,Disk_IO,2,1407,4,14113
1086,Disk_IO,2,1321,10,13248
1152,OS_Routine,0,3,9,1
1730,Disk_IO,2,1316,6,13116
1000,OS_Routine,0,10,7,45
1582,Disk_IO,2,1793,1,17955
1446,Disk_IO,2,1706,3,17057
1334,Disk_IO,2,467,9,4649
1111,Heavy_Compute,3,5763,4,288124
1303,Heavy_Compute,3,3671,9,183533
1721,User_Interaction,1,43,10,187
1557,User_Interaction,1,89,2,426
1761,User_Interaction,1,73,1,356
1059,Heavy_Compute,3,3316,1,165849
1162,Disk_IO,2,1799,2,17978
1570,Disk_IO,2,237,10,2382
1731,Heavy_Compute,3,1972,10,98597
1310,Disk_IO,2,943,8,9389
1505,User_Interaction,1,56,10,238
1635,Heavy_Compute,3,5092,10,254602
1408,OS_Routine,0,9,9,59
1531,Heavy_Compute,3,3289,5,164407
1720,OS_Routine,0,9,1,1
1843,Heavy_Compute,3,4792,5,239591
1590,Disk_IO,2,1515,7,15161
1452,OS_Routine,0,4,9,1
1069,User_Interaction,1,30,1,191
1436,OS_Routine,0,9,6,39
1555,Heavy_Compute,3,4321,10,216047
1312,OS_Routine,0,8,3,42
1956,OS_Routine,0,4,1,33
1167,Heavy_Compute,3,4688,6,234406
1504,OS_Routine,0,5,10,1
1579,Heavy_Compute,3,3208,5,160352
1772,OS_Routine,0,8,8,52
1053,User_Interaction,1,35,5,152
1639,Heavy_Compute,3,3769,9,188487
1416,OS_Routine,0,5,6,36
1431,Heavy_Compute,3,2903,3,145179
1165,User_Interaction,1,58,2,330
1962,Disk_IO,2,1111,1,11137
1743,Heavy_Compute,3,3692,8,184576
1932,OS_Routine,0,1,6,1
1458,Disk_IO,2,597,2,6001
1109,User_Interaction,1,92,2,506
1216,OS_Routine,0,6,5,62
1769,User_Interaction,1,23,2,162
1813,User_Interaction,1,77,4,401
1924,OS_Routine,0,8,7,57
1087,Heavy_Compute,3,3056,4,152787
1177,User_Interaction,1,74,2,402
1423,Heavy_Compute,3,4287,10,214321
1988,OS_Routine,0,9,9,36
1507,Heavy_Compute,3,4834,6,241674
1068,OS_Routine,0,6,3,1
1997,User_Interaction,1,66,1,348
1854,Disk_IO,2,302,4,3040
1632,OS_Routine,0,7,1,25
1361,User_Interaction,1,91,3,486
1644,OS_Routine,0,5,7,59
1128,OS_Routine,0,3,5,1
1043,Heavy_Compute,3,5511,4,275567
1851,Heavy_Compute,3,2397,10,119891
1676,OS_Routine,0,8,4,63
1978,Disk_IO,2,579,6,5742
1841,User_Interaction,1,62,1,316
1822,Disk_IO,2,1739,2,17397
1596,OS_Routine,0,4,2,1
1846,Disk_IO,2,1304,1,13057
1998,Disk_IO,2,1324,2,13279
1915,Heavy_Compute,3,3100,4,155036
1673,User_Interaction,1,63,7,282
1269,User_Interaction,1,79,4,436
1853,User_Interaction,1,51,8,288
1959,Heavy_Compute,3,3727,5,186356
1401,User_Interaction,1,79,5,443
1259,Heavy_Compute,3,4652,3,232640
1154,Disk_IO,2,246,6,2463
1874,Disk_IO,2,842,8,8436
1005,User_Interaction,1,87,2,437
1800,OS_Routine,0,6,7,3
1151,Heavy_Compute,3,4935,7,246752
1243,Heavy_Compute,3,2644,9,132155
1373,User_Interaction,1,43,3,251
1387,Heavy_Compute,3,5739,1,286912
1220,OS_Routine,0,4,4,11
1549,User_Interaction,1,38,9,233
1569,User_Interaction,1,36,4,136
1592,OS_Routine,0,10,6,60
1704,OS_Routine,0,8,1,53
1696,OS_Routine,0,5,10,1
1332,OS_Routine,0,7,3,60
1940,OS_Routine,0,10,1,1
1968,OS_Routine,0,3,2,13
1936,OS_Routine,0,7,5,1
1844,OS_Routine,0,8,3,19
1514,Disk_IO,2,695,3,6917
1506,Disk_IO,2,916,8,9164
1019,Heavy_Compute,3,4738,9,236896
1540,OS_Routine,0,10,1,1
1668,OS_Routine,0,6,4,49
1358,Disk_IO,2,300,1,2995
1601,User_Interaction,1,13,10,44
1262,Disk_IO,2,995,8,9931
1102,Disk_IO,2,1110,6,11084
1473,User_Interaction,1,20,1,143
1945,User_Interaction,1,43,10,186
1255,Heavy_Compute,3,2932,8,146648
1352,OS_Routine,0,4,1,27
1628,OS_Routine,0,7,4,1
1110,Disk_IO,2,303,5,3080
1390,Disk_IO,2,1658,3,16588
1695,Heavy_Compute,3,3350,8,167462
1306,Disk_IO,2,1513,4,15172
1212,OS_Routine,0,9,1,68
1248,OS_Routine,0,8,9,1
1701,User_Interaction,1,38,7,227
1144,OS_Routine,0,8,10,1
1422,Disk_IO,2,799,3,7954
1937,User_Interaction,1,21,8,132
1447,Heavy_Compute,3,1317,8,65829
1350,Disk_IO,2,1637,6,16384
1591,Heavy_Compute,3,4828,3,241408
1736,OS_Routine,0,6,10,1
1728,OS_Routine,0,6,9,45
1910,Disk_IO,2,1298,4,13029
1194,Disk_IO,2,634,2,6296
1790,Disk_IO,2,138,9,1367
1752,OS_Routine,0,2,1,1
1127,Heavy_Compute,3,4395,1,219800
1820,OS_Routine,0,10,3,63
1370,Disk_IO,2,1953,8,19533
1595,Heavy_Compute,3,1051,10,52596
1148,OS_Routine,0,8,2,66
1658,Disk_IO,2,406,5,4088
1620,OS_Routine,0,7,7,7
1420,OS_Routine,0,6,2,1
1976,OS_Routine,0,1,8,38
1895,Heavy_Compute,3,4287,1,214332
1008,OS_Routine,0,4,1,1
1801,User_Interaction,1,46,3,198
1643,Heavy_Compute,3,2553,7,127669
1699,Heavy_Compute,3,2675,1,133733
1117,User_Interaction,1,85,4,469
1875,Heavy_Compute,3,5525,5,276241
1868,OS_Routine,0,1,3,20
1865,User_Interaction,1,39,4,156
1351,Heavy_Compute,3,5834,8,291750
1574,Disk_IO,2,1698,4,17028
1526,Disk_IO,2,1695,8,16948
1981,User_Interaction,1,14,4,106
1787,Heavy_Compute,3,1531,6,76577
1031,Heavy_Compute,3,1183,4,59178
1944,OS_Routine,0,3,3,31
1905,User_Interaction,1,16,1,69
1588,OS_Routine,0,2,4,1
1812,OS_Routine,0,9,2,45
1970,Disk_IO,2,1815,1,18164
1520,OS_Routine,0,7,5,59
